Zip,State,Population
99722,AK,107
99723,AK,3696
99724,AK,103
99726,AK,156
99727,AK,318
99729,AK,210
99730,AK,107
99733,AK,73
99734,AK,153
99736,AK,167
99737,AK,4111
99739,AK,264
99740,AK,662
99741,AK,847
99742,AK,525
99743,AK,1057
99744,AK,300
99745,AK,64
99746,AK,207
99747,AK,245
99748,AK,240
99749,AK,349
99750,AK,689
99751,AK,306
99752,AK,3347
99753,AK,231
99755,AK,27
99756,AK,122
99757,AK,32
99758,AK,228
99759,AK,139
99760,AK,393
99761,AK,395
99762,AK,3706
99763,AK,534
99765,AK,492
99766,AK,640
99767,AK,68
99768,AK,172
99769,AK,519
99770,AK,0
99771,AK,183
99772,AK,456
99773,AK,0
99774,AK,110
99777,AK,345
99778,AK,260
99780,AK,1805
99781,AK,184
99782,AK,492
99783,AK,341
99784,AK,194
99785,AK,198
99786,AK,8
99788,AK,99
99789,AK,354
99801,AK,24947
99820,AK,1002
99824,AK,1802
99826,AK,258
99827,AK,2246
99829,AK,1670
99833,AK,4253
99835,AK,8638
99840,AK,692
99901,AK,13886
99919,AK,744
99921,AK,1398
99922,AK,891
99923,AK,116
99925,AK,851
99926,AK,1469
99927,AK,426
99929,AK,2573
99950,AK,422
85003,AZ,10633
85004,AZ,4491
85006,AZ,26747
85007,AZ,13650
85008,AZ,41733
85009,AZ,41512
85012,AZ,6141
85013,AZ,18467
85014,AZ,22646
85015,AZ,32497
85016,AZ,29527
85017,AZ,27741
85018,AZ,32926
85019,AZ,21879
85020,AZ,29043
85021,AZ,31201
85022,AZ,33573
85023,AZ,54668
85024,AZ,14090
85027,AZ,24843
85028,AZ,22662
85029,AZ,40764
85031,AZ,21088
85032,AZ,53113
85033,AZ,41367
85034,AZ,9824
85035,AZ,35384
85037,AZ,13924
85039,AZ,7914
85040,AZ,47527
85041,AZ,29343
85043,AZ,7054
85044,AZ,32053
85051,AZ,35671
85201,AZ,40017
85202,AZ,40729
85203,AZ,32853
85204,AZ,55180
85205,AZ,35676
85206,AZ,21274
85207,AZ,12547
85208,AZ,22113
85210,AZ,32467
85213,AZ,23500
85219,AZ,14112
85220,AZ,19342
85222,AZ,26134
85224,AZ,54023
85225,AZ,15678
85226,AZ,17639
85228,AZ,10698
85231,AZ,10670
85232,AZ,9888
85234,AZ,32606
85236,AZ,3583
85237,AZ,2736
85239,AZ,5026
85240,AZ,2574
85242,AZ,2569
85247,AZ,6792
85248,AZ,9399
85249,AZ,3871
85250,AZ,16133
85251,AZ,30869
85253,AZ,15289
85254,AZ,37414
85255,AZ,2927
85256,AZ,3367
85257,AZ,30182
85258,AZ,20867
85259,AZ,7802
85260,AZ,17908
85262,AZ,1614
85264,AZ,619
85268,AZ,10030
85272,AZ,644
85273,AZ,3901
85281,AZ,49218
85282,AZ,47890
85283,AZ,38332
85284,AZ,12320
85292,AZ,1977
85301,AZ,46331
85302,AZ,32094
85303,AZ,16045
85304,AZ,26463
85305,AZ,1424
85306,AZ,23493
85307,AZ,4120
85308,AZ,31532
85309,AZ,3601
85310,AZ,5369
85321,AZ,3288
85322,AZ,329
85323,AZ,12321
85324,AZ,1819
85326,AZ,13086
85328,AZ,1285
85331,AZ,13654
85332,AZ,2314
85333,AZ,659
85335,AZ,5234
85337,AZ,2898
85338,AZ,5819
85339,AZ,6187
85340,AZ,6349
85342,AZ,2878
85343,AZ,669
85344,AZ,11143
85345,AZ,37607
85347,AZ,959
85348,AZ,1279
85350,AZ,15339
85351,AZ,31102
85353,AZ,9485
85354,AZ,95
85355,AZ,2125
85356,AZ,4778
85361,AZ,789
85362,AZ,455
85363,AZ,2351
85364,AZ,57131
85365,AZ,28179
85373,AZ,25878
85374,AZ,5042
85375,AZ,5702
85381,AZ,9624
85382,AZ,1738
85390,AZ,7994
85501,AZ,13240
85530,AZ,1371
85533,AZ,376
85534,AZ,2395
85535,AZ,55
85539,AZ,4866
85540,AZ,5223
85541,AZ,13456
85542,AZ,4878
85543,AZ,2881
85544,AZ,1903
85545,AZ,65
85546,AZ,2676
85550,AZ,2307
85552,AZ,15375
85602,AZ,6141
85603,AZ,8471
85606,AZ,290
85607,AZ,17350
85610,AZ,1655
85611,AZ,638
85613,AZ,8710
85614,AZ,15530
85615,AZ,1762
85616,AZ,3639
85617,AZ,3135
85618,AZ,1876
85621,AZ,25506
85623,AZ,3833
85624,AZ,1430
85625,AZ,2421
85629,AZ,2973
85630,AZ,1928
85631,AZ,6253
85632,AZ,1485
85634,AZ,9003
85635,AZ,33700
85637,AZ,1399
85638,AZ,1556
85640,AZ,813
85641,AZ,2843
85643,AZ,7297
85645,AZ,1157
85653,AZ,7562
85701,AZ,5191
85704,AZ,24039
85705,AZ,52751
85706,AZ,52458
85708,AZ,6191
85710,AZ,52679
85711,AZ,40024
85712,AZ,28813
85713,AZ,40625
85714,AZ,16488
85715,AZ,33197
85716,AZ,32258
85718,AZ,22441
85719,AZ,39019
85730,AZ,33251
85735,AZ,2987
85736,AZ,1130
85737,AZ,14077
85741,AZ,36400
85743,AZ,4507
85745,AZ,25143
85746,AZ,34683
85747,AZ,2286
85748,AZ,9675
85749,AZ,14254
85901,AZ,16493
85920,AZ,243
85922,AZ,14
85924,AZ,949
85925,AZ,482
85928,AZ,1856
85929,AZ,5350
85935,AZ,1938
85936,AZ,3844
85937,AZ,6678
85938,AZ,6560
86001,AZ,30174
86004,AZ,26878
86021,AZ,3065
86022,AZ,1393
86025,AZ,5567
86030,AZ,271
86033,AZ,7549
86034,AZ,3240
86035,AZ,2396
86036,AZ,564
86038,AZ,55
86039,AZ,167
86040,AZ,8428
86042,AZ,1723
86043,AZ,1653
86044,AZ,158
86045,AZ,10514
86046,AZ,6117
86047,AZ,17429
86053,AZ,6098
86054,AZ,2049
86301,AZ,915
86303,AZ,36617
86314,AZ,11396
86320,AZ,563
86321,AZ,1596
86322,AZ,6250
86323,AZ,7285
86324,AZ,7574
86325,AZ,2612
86326,AZ,8530
86327,AZ,3965
86332,AZ,186
86333,AZ,3248
86334,AZ,24
86335,AZ,1743
86336,AZ,13225
86337,AZ,693
86343,AZ,105
86401,AZ,32002
86403,AZ,26718
86412,AZ,2
86430,AZ,3196
86432,AZ,87
86434,AZ,798
86435,AZ,423
86436,AZ,912
86440,AZ,4139
86441,AZ,68
86442,AZ,22394
86444,AZ,118
86502,AZ,1085
86503,AZ,10679
86505,AZ,23428
86507,AZ,1665
86509,AZ,41
86510,AZ,5911
86514,AZ,4941
86535,AZ,1693
