State/Zip,2000 Population
AZ85320,1064
AZ85321,5004
AZ85322,470
AZ85323,32769
AZ85324,2747
AZ85325,806
AZ85326,22018
AZ85328,176
AZ85329,2965
AZ85331,23803
AZ85332,1989
AZ85333,852
AZ85334,1033
AZ85335,7676
AZ85336,1476
AZ85337,2726
AZ85338,16092
AZ85339,6346
AZ85340,7053
AZ85342,1402
AZ85344,10781
AZ85345,52752
AZ85346,3893
AZ85347,1235
AZ85348,2266
AZ85349,12545
AZ85350,14550
AZ85351,28800
AZ85353,7218
AZ85354,2966
AZ85355,3356
AZ85356,3925
AZ85357,403
AZ85360,305
AZ85361,4147
AZ85362,1063
AZ85363,3028
AZ85364,71745
AZ85365,36049
AZ85367,17593
AZ85373,12643
AZ85374,28163
AZ85375,27318
AZ85379,1153
AZ85381,22577
AZ85382,37575
AZ85390,7887
AZ853HH,0
AZ853XX,580
AZ85501,13614
AZ85530,1846
AZ85531,404
AZ85533,1742
AZ85534,
AZ85535,150
AZ85536,443
AZ85539,5226
AZ85540,3785
AZ85541,19771
AZ85542,1313
AZ85543,3132
AZ85544,2983
AZ85545,616
AZ85546,17977
AZ85550,6226
AZ85552,5720
AZ85553,900
AZ85554,641
AZ855HH,0
AZ855XX,13
AZ85601,909
AZ85602,8879
AZ85603,8583
AZ85605,706
AZ85606,1592
AZ85607,21131
AZ85608,85
AZ85609,297
AZ85610,1366
AZ85611,528
AZ85613,8339
AZ85614,18062
AZ85615,6537
AZ85616,4949
AZ85617,1263
AZ85618,1982
AZ85619,73
AZ85621,22851
AZ85623,4327
AZ85624,1314
AZ85625,2104
AZ85627,140
AZ85629,7841
AZ85630,2477
AZ85631,4440
AZ85632,831
AZ85633,122
AZ85634,6088
AZ85635,28936
AZ85637,1298
AZ85638,2020
AZ85639,422
AZ85640,577
AZ85641,6743
AZ85643,8529
AZ85645,2376
AZ85646,1074
AZ85648,10791
AZ85650,10672
AZ85653,10948
AZ85654,148
AZ856HH,0
AZ85701,4474
AZ85704,26869
AZ85705,55199
AZ85706,70406
AZ85708,6494
AZ85710,54561
AZ85711,42859
AZ85712,32656
AZ85713,47998
AZ85714,14549
AZ85715,15890
AZ85716,33374
AZ85718,26424
AZ85719,44066
AZ85730,38872
AZ85735,8203
AZ85736,4713
AZ85737,30370
AZ85739,12088
AZ85741,31757
AZ85742,22239
AZ85743,18695
AZ85745,30881
AZ85746,44665
AZ85747,12729
AZ85748,15662
AZ85749,18267
AZ85750,24783
AZ85901,11837
AZ85911,1568
AZ85920,256
AZ85922,36
AZ85923,658
AZ85924,1986
AZ85925,2237
AZ85926,111
AZ85927,177
AZ85928,723
AZ85929,5620
AZ85930,370
AZ85931,266
AZ85932,222
AZ85933,3051
AZ85934,302
AZ85935,5320
AZ85936,4115
AZ85937,6090
AZ85938,4263
AZ85939,3362
AZ85940,720
AZ85941,10022
AZ85942,143
AZ86001,34207
AZ86004,35212
AZ86015,231
AZ86016,118
AZ86017,1277
AZ86018,1006
AZ86020,2125
AZ86021,4064
AZ86022,1800
AZ86023,2348
AZ86024,641
AZ86025,7027
AZ86030,631
AZ86031,2445
AZ86032,173
AZ86033,8491
AZ86034,2095
AZ86035,1653
AZ86036,244
AZ86039,2179
AZ86040,10249
AZ86042,1522
AZ86043,1562
AZ86044,
AZ86045,10422
AZ86046,5014
AZ86047,14191
AZ86052,32
AZ86053,2296
AZ86054,1548
AZ860HH,
AZ860XX,134
AZ86301,19629
AZ86303,16110
AZ86305,11470
AZ86314,26825
AZ86320,907
AZ86321,1926
AZ86322,10200
AZ86323,12393
AZ86324,3438
AZ86325,3579
AZ86326,20459
AZ86327,6668
AZ86331,315
AZ86332,986
AZ86333,4991
AZ86334,2955
AZ86335,3203
AZ86336,11335
AZ86337,948
AZ86338,358
AZ86343,133
AZ86351,5697
AZ86401,38857
AZ86403,13480
AZ86404,12986
AZ86406,18258
AZ86413,7694
AZ86426,8919
AZ86429,4726
AZ86430,53
AZ86431,352
AZ86432,1053
AZ86433,128
AZ86434,1542
AZ86435,503
AZ86436,1790
AZ86437,36
AZ86438,282
AZ86440,6790
AZ86441,2329
AZ86442,29214
AZ86444,867
AZ864HH,0
AZ864XX,244
AZ86502,1573
AZ86503,11302
AZ86504,
AZ86505,9508
AZ86506,1529
AZ86507,2114
AZ86508,
AZ86510,5403
AZ86511,3272
AZ86512,2245
AZ86514,
AZ86515,
AZ86520,2422
AZ86535,1334
AZ86538,2545
AZ86540,679
AZ86544,1286
AZ86545,1804
AZ86547,867
AZ86549,877
AZ86556,1949
AZ87328,
AZ89024,478
AR38041,
AR38063,
AR380HH,
AR65733,
AR65761,
AR657HH,
AR71601,20396
AR71602,19759
AR71603,35771
AR71630,667
AR71631,752
AR71635,13834
AR71638,4865
AR71639,7561
AR71640,4051
AR71642,561
AR71643,1696
AR71644,4214
AR71646,6904
AR71647,2461
AR71651,184
AR71652,1234
AR71653,5745
AR71654,5231
AR71655,15356
AR71656,121
AR71658,961
AR71659,8
AR71660,995
AR71661,511
AR71663,884
AR71665,5907
AR71666,77
AR71667,8067
AR71670,1626
AR71671,9244
AR71674,961
AR71675,1963
AR71676,987
AR71677,194
AR716HH,0
AR716XX,200
AR71701,22171
AR71720,2820
AR71722,117
AR71724,414
AR71725,676
AR71726,1528
AR71730,35308
AR71740,1827
AR71742,6611
AR71743,4366
AR71744,3546
AR71745,310
AR71747,1352
AR71749,
AR71751,961
AR71752,1210
AR71753,17155
AR71758,553
AR71759,294
AR71762,2839
AR71763,1865
AR71764,2402
AR71765,2404
AR71766,853
AR71770,3615
AR717HH,0
AR717XX,2
AR71801,17264
AR71820,22
AR71822,9010
AR71823,108
AR71825,676
AR71826,1429
AR71827,678
AR71832,9858
AR71833,2505
AR71834,1431
AR71835,1371
AR71836,3372
AR71837,4369
AR71838,1494
AR71839,435
AR71841,922
AR71842,2194
AR71845,2625
AR71846,2740
AR71847,690
AR71851,2438
AR71852,10160
AR71853,495
